번호,자재ID,자재명,대분류,중분류,단위,규격,가격,색상,재고,공급업체,지점,메모
1,MA000014,미니트리,조화,트리류,,,3000,기타,23,마티아,릴리맥NC이스트폴점,
2,MA900014,열매봉 10cm,조화,소재(그린),,,9000,,1,미지정,릴리맥NC이스트폴점,
3,MB100014,높은원형바구니 3사이즈 1116,바구니 / 화기,바구니,,,7150,기타,4,현대데코,릴리맥NC이스트폴점,
4,MB100024,바구니 배불데기,바구니 / 화기,바구니,,,3850,기타,15,헌인자재-헌인,릴리맥NC이스트폴점,
5,MB100034,바구니 왕골 비너스 소,바구니 / 화기,바구니,,,3850,기타,9,헌인자재-헌인,릴리맥NC이스트폴점,
6,MB100044,바구니 왕골 비너스 중,바구니 / 화기,바구니,,,4950,,16,헌인자재-헌인,릴리맥NC이스트폴점,
7,MB100054,햇바스켓 라벤더 - 대,바구니 / 화기,바구니,,,6050,퍼플,2,현대데코,릴리맥NC이스트폴점,
8,MB100064,햇바스켓 베이직 - 중,바구니 / 화기,바구니,,,4950,,2,미지정,릴리맥NC이스트폴점,
9,MB100074,햇바스켓 연블루 - 대,바구니 / 화기,바구니,,,6050,블루,3,현대데코,릴리맥NC이스트폴점,
10,MB100084,헷바스켓 라벤더 - 중,바구니 / 화기,바구니,,,4950,퍼플,3,미지정,릴리맥NC이스트폴점,
11,MB200014,003LW,바구니 / 화기,도자기,,,20000,,8,미지정,릴리맥NC이스트폴점,
12,MB200024,리엔소그림화기3사이즈,바구니 / 화기,도자기,,,23100,기타,2,현대데코,릴리맥NC이스트폴점,
13,MB200034,핑크화분,바구니 / 화기,도자기,,,5500,핑크,40,미지정,릴리맥NC이스트폴점,
14,MB200044,핸드페인팅 화기  1181(동양소),바구니 / 화기,도자기,,,12100,,2,미지정,릴리맥NC이스트폴점,
15,MB200054,핸드페인팅 화기  1191 민트,바구니 / 화기,도자기,,,18700,기타,2,현대데코,릴리맥NC이스트폴점,
16,MB200064,핸드페인팅 화기 003SW,바구니 / 화기,도자기,,,16000,,8,기타,릴리맥NC이스트폴점,
17,MB200074,핸드페인팅 화기 1191 옐로우,바구니 / 화기,도자기,,,18700,옐로우,1,미지정,릴리맥NC이스트폴점,
18,MB200084,핸드페인팅화기1176(천사타원형),바구니 / 화기,도자기,,,18700,기타,1,현대데코,릴리맥NC이스트폴점,
19,MB200094,핸드프린팅 화기 1174,바구니 / 화기,도자기,,,26400,기타,2,현대데코,릴리맥NC이스트폴점,
20,MB200104,화기 말레20 화기 3색 11*20*9.5,바구니 / 화기,도자기,,,0,,0,현대데코,릴리맥NC이스트폴점,
21,MB200114,화기 무광 블랙 신신 13*13,바구니 / 화기,도자기,,,0,,0,미지정,릴리맥NC이스트폴점,
22,MB200124,화기 블랙원통,바구니 / 화기,도자기,,,6500,,2,신신도자기-양재,릴리맥NC이스트폴점,
23,MB200134,화기 소 사각 골드 현대데코 10*10,바구니 / 화기,도자기,,,0,,0,미지정,릴리맥NC이스트폴점,
24,MB200144,화기 소 실버 현대데코 10*10,바구니 / 화기,도자기,,,0,,0,미지정,릴리맥NC이스트폴점,
25,MB200154,화기 소 원통 블랙 10*10,바구니 / 화기,도자기,,,0,,0,미지정,릴리맥NC이스트폴점,
26,MB200164,화기 소 원통 실버 10*10,바구니 / 화기,도자기,,,0,,0,미지정,릴리맥NC이스트폴점,
27,MB200174,화기 소 원통 화이트 10*10,바구니 / 화기,도자기,,,3000,,10,신신도자기-양재,릴리맥NC이스트폴점,
28,MB200184,화기 유광 블랙 신신 14*14,바구니 / 화기,도자기,,,0,,0,미지정,릴리맥NC이스트폴점,
29,MB200194,화기 핸드페인팅  1185 15.5*16*11,바구니 / 화기,도자기,,,0,,0,현대데코,릴리맥NC이스트폴점,
30,MB200204,화기 핸드페인팅  1955-1 꽃과새 연두 14*15*10,바구니 / 화기,도자기,,,0,,0,현대데코,릴리맥NC이스트폴점,
31,MB200214,화기 핸드페인팅  1955-2 꽃과나비 노랑 14*15*10,바구니 / 화기,도자기,,,0,,0,현대데코,릴리맥NC이스트폴점,
32,MB200224,화기 핸드페인팅 2082 꽃과새 원형 14*14*9.5,바구니 / 화기,도자기,,,0,,0,현대데코,릴리맥NC이스트폴점,
33,MB200234,화기 핸드페인팅 화기 ,바구니 / 화기,도자기,,,18700,기타,2,현대데코,릴리맥NC이스트폴점,
34,MB200244,화기 핸드페인팅1176 20*12*14.5,바구니 / 화기,도자기,,,18700,,2,현대데코,릴리맥NC이스트폴점,
