거래처명,유형,연락처,담당자,이메일,주소,지점,메모,등록일
(주)매일농원,생화,,,,,릴리맥NC이스트폴점,,2025-08-30 12:23
garden,분화,,강현주 ,,농협 3016632520121 강현주,,,2026-03-26 11:44
gs25,기타,,,,,릴리맥여의도점,,2025-11-08 17:36
J.S플라워-양재,생화,,,,,,,2025-08-13 15:32
KT강남스퀘어,기타공급업체,,,,,릴리맥여의도점,,2026-03-30 16:29
가든농원-과천,분화,,,,,릴리맥여의도2호점,,2025-08-18 16:31
강남,기타공급업체,,,,,릴리맥NC이스트폴점,,2026-02-28 16:49
강남농원,기타공급업체,,,,,릴리맥광화문점,,2026-02-25 16:23
강남원예-양재,생화,,,,,릴리맥여의도2호점,,2025-08-18 16:32
경향농원,생화,,,,,릴리맥NC이스트폴점,,2026-01-04 14:52
고속버스터미널,기타,,,,,릴리맥여의도점,,2025-11-01 16:49
골드트리,기타공급업체,,,,,릴리맥여의도점,,2026-01-18 12:41
공주플라워,기타공급업체,,,,,릴리맥여의도점,,2026-04-05 10:55
구내식당,식당,,,,,릴리맥여의도점,,2025-08-27 08:40
구백의천사,생화,,,,,릴리맥NC이스트폴점,,2025-09-06 14:13
꽃과향기,생화,,,,,릴리맥광화문점,,2025-11-15 15:50
꽃나라-양재,생화,,,,,릴리맥여의도2호점,,2025-08-18 15:52
꽃도매119,생화,,,,,릴리맥광화문점,,2025-09-19 16:25
꽃동산,기타공급업체,,,,,릴리맥여의도점,,2026-02-25 15:38
꽃동산-양재,생화,,,,,,,2025-08-08 18:50
꽃사레,생화,,,,,릴리맥NC이스트폴점,,2025-08-23 12:29
꽃천지-완주군,기타공급업체,,,,,릴리맥여의도점,,2026-03-31 16:55
꽃피는 정원,자재,,,,,릴리맥NC이스트폴점,,2025-11-22 14:30
나래꽃-양재,생화,,,,,릴리맥여의도2호점,,2025-08-18 16:30
나비마을,자재,,,,,릴리맥여의도점,,2025-10-31 11:55
낙타농원,기타공급업체,,,,,릴리맥NC이스트폴점,,2025-10-15 15:32
남서울화훼자재,기타공급업체,,,,,릴리맥NC이스트폴점,,2026-04-01 15:19
남영숙플라워앤아트(광주 동구),기타공급업체,,,,,릴리맥여의도점,,2026-04-15 08:19
노플라워,화환도매,,노플라워,,,,,2026-01-14 17:45
다원화뭔,생화,,,,,릴리맥NC이스트폴점,,2025-08-30 12:25
다이소,기타공급업체,,,,,릴리맥여의도2호점,,2025-08-18 16:31
대명소재,기타공급업체,,,,,릴리맥NC이스트폴점,,2026-02-28 16:53
대명소재-양재,생화,,,,,,,2025-08-08 18:50
대박농원,기타공급업체,,,,,릴리맥NC이스트폴점,,2026-04-01 14:37
대상화훼,생화,,,,,릴리맥여의도점,,2025-10-18 15:03
대전 플라워월드,기타공급업체,,,,,릴리맥여의도점,,2026-03-16 11:12
대한꽃집,생화,,,,,릴리맥여의도점,,2025-12-06 15:36
동궁찜닭,식당,,,,,릴리맥여의도점,,2026-01-14 18:57
디앤디-고터,화훼부자재,,,,,릴리맥여의도2호점,,2025-08-18 16:47
디자인쁘랭땅,자재,,,,,릴리맥광화문점,,2025-09-11 15:52
또또원예,생화,,,,,릴리맥여의도점,,2025-09-04 11:49
뚜레쥬르,기타공급업체,,,,,릴리맥NC이스트폴점,,2026-02-28 16:49
로얄꽃집,생화,,,,,릴리맥NC이스트폴점,,2026-01-17 17:31
로즈버드플라워,생화,,,,,릴리맥여의도점,,2025-09-08 18:29
루시플라워-양재,생화,,,,,릴리맥여의도2호점,,2025-08-18 16:08
리틀하우스,자재,,,,,릴리맥광화문점,,2025-12-03 19:43
릴리맥본사,생화,,,,,릴리맥광화문점,,2025-08-13 19:18
마티아,기타,,,,,릴리맥여의도점,,2025-11-01 16:44
만복순대국보쌈,기타공급업체,,,,,릴리맥여의도점,,2026-02-28 15:42
맘스터치,기타공급업체,,,,,릴리맥여의도점,,2026-03-02 16:29
매일농원,기타공급업체,,,,,릴리맥NC이스트폴점,,2026-02-28 16:49
매일농원-양재,생화,,,,,,,2025-08-08 18:50
명선꽃집,생화,,,,,릴리맥여의도점,,2025-12-06 15:36
명성쇼핑백,자재,,,,,릴리맥광화문점,,2025-11-06 09:04
밝은꿈,생화,,,,,릴리맥여의도점,,2025-08-23 16:01
방이주유소,기타,,,,,릴리맥여의도점,,2025-08-21 07:53
별미볶음,식당,,,,,릴리맥여의도점,,2026-01-19 12:08
복전화원,생화,,,,,릴리맥여의도점,,2025-12-20 16:47
북창동순두부,식당,,,,,릴리맥여의도점,,2025-09-23 11:23
브로트아트,기타,,,,,릴리맥여의도점,,2025-12-26 08:17
브루다,기타,,,,,릴리맥여의도점,,2025-09-20 15:56
