상품코드,상품명,대분류,중분류,가격,공급업체,재고,사이즈,색상,지점,상태
P16015,카네이션코사지 A,어버이날상품,어버이날컬렉션,"10,000",자체상품,10000,undefined,undefined,릴리맥NC이스트폴점,활성
P00019,동양난- 황룡금 AB,플랜트,동서양난,"120,000",자체상품,9997,undefined,undefined,릴리맥NC이스트폴점,활성
0JePfpg2wfzCNk2cDNJv,블랙잭,기타상품,기타,"8,000",희플라워,1,기타,기타,릴리맥NC이스트폴점,재고부족
P14004,일반코사지 Ab,플라워,행사용꽃,"12,000",자체상품,10000,undefined,undefined,릴리맥NC이스트폴점,활성
P21005,메세지토퍼 대,자재,드라이플라워카드/토퍼,"8,000",헬로우레인보우,10000,undefined,undefined,릴리맥NC이스트폴점,활성
P15003,축하3단-특 AE,플라워,경조화환,"150,000",자체상품,10000,undefined,undefined,릴리맥NC이스트폴점,활성
P00010,"H 분화-테라조 콩고,사파이어,보석금전수",플랜트,중품,"80,000",자체상품,9994,M,Black,릴리맥NC이스트폴점,활성
P16002,카네이션2송이박스Ae,어버이날상품,어버이날컬렉션,"15,000",자체상품,10000,undefined,undefined,릴리맥NC이스트폴점,활성
P10008,꽃다발(M)H,플라워,꽃다발,"80,000",자체상품,9933,undefined,undefined,릴리맥NC이스트폴점,활성
P15007,근조3단 A0,플라워,경조화환,"100,000",자체상품,9999,undefined,undefined,릴리맥NC이스트폴점,활성
P13002,용돈박스 (L)F,플라워,플라워박스,"60,000",자체상품,10000,undefined,undefined,릴리맥NC이스트폴점,활성
P13007,마카롱박스 (LL)IE,플라워,플라워박스,"95,000",자체상품,10000,undefined,undefined,릴리맥NC이스트폴점,활성
P00013,뿔스투키 / 극락조 AH,플랜트,대품,"180,000",자체상품,10000,L,Red,릴리맥NC이스트폴점,활성
P20006,컬러화병,자재,화병/화기,"20,000",이케아,9999,undefined,undefined,릴리맥NC이스트폴점,활성
P12002,센터피스(B) F,플라워,센터피스,"60,000",자체상품,9998,undefined,undefined,릴리맥NC이스트폴점,활성
P00005,분화 D,플랜트,소품,"40,000",자체상품,9940,S,Orange,릴리맥NC이스트폴점,활성
P16016,미니화병꽂이 C,어버이날상품,어버이날컬렉션,"30,000",자체상품,10000,undefined,undefined,릴리맥NC이스트폴점,활성
P24001,현대데코 햇박스 대-연블루,자재,바구니,"20,000",현대데코,10000,undefined,undefined,릴리맥NC이스트폴점,활성
P23001,프리저브드 장미 -사각화기,자재,드라이플라워카드/토퍼,"25,000",undefined,10000,undefined,undefined,릴리맥NC이스트폴점,활성
P16013,케리어-향카 Ae,어버이날상품,어버이날컬렉션,"15,000",자체상품,10000,undefined,undefined,릴리맥NC이스트폴점,활성
P25005,세척마사 소,자재,원예자재,"5,000",헌인자재,10000,undefined,undefined,릴리맥NC이스트폴점,활성
P16007,포터볼 센터피스 E,어버이날상품,어버이날컬렉션,"50,000",자체상품,10000,undefined,undefined,릴리맥NC이스트폴점,활성
P14005,vip코사지-자석 Ae,플라워,행사용꽃,"15,000",자체상품,10000,undefined,undefined,릴리맥NC이스트폴점,활성
P25003,분갈이 흙 2리터,자재,원예자재,"2,000",헌인자재,10000,undefined,undefined,릴리맥NC이스트폴점,활성
P16012,카네이션바구니A0,어버이날상품,어버이날컬렉션,"100,000",자체상품,10000,undefined,undefined,릴리맥NC이스트폴점,활성
AONCX5qn2PjLtZziqmuX,오차각,기타상품,기타,"4,000",송광농원,0,기타,기타,릴리맥NC이스트폴점,품절
P10011,꽃다발(LDS)B0,플라워,꽃다발,"200,000",자체상품,9997,undefined,undefined,릴리맥NC이스트폴점,활성
